data,cases,delta_cases,avg_3gg,delta_contagi_prot,ew_cases_normalized,swabs_rl,positive_swabs_percentage,new_cases,new_cases_test_percentage,cumulative_cases_screening,daily_cases_screening,var_percentage
23-apr-20,74079,1031,,1091,129,11583,9.419,5955,18.321,,,
24-apr-20,74580,501,916,713,63,12642,5.640,6421,11.104,,,
25-apr-20,74806,226,,920,28,10857,8.474,5644,16.300,,,
26-apr-20,75735,929,,590,116,5053,11.676,3052,19.332,,,
27-apr-20,76608,873,676,869,109,8573,10.136,5003,17.370,,,
28-apr-20,77667,1059,,786,132,14472,5.431,7426,10.584,,,
29-apr-20,78692,1025,,598,128,11048,5.413,5928,10.088,,,
30-apr-20,78954,262,782,737,33,13701,5.379,6942,10.617,,,
01-mag-20,79238,284,,533,36,13058,4.082,6561,8.124,,,
02-mag-20,79355,117,,526,15,7155,7.352,3793,13.868,,,
03-mag-20,80068,713,371,577,89,7978,7.232,4485,12.865,,,
04-mag-20,80834,766,,500,96,6455,7.746,3631,13.770,,,
05-mag-20,81534,700,,764,88,14516,5.263,7672,9.958,,,
06-mag-20,82244,710,725,720,89,15488,4.649,8000,9.000,,,
07-mag-20,82897,653,,634,82,10993,5.767,6000,10.567,,,
08-mag-20,83153,256,,502,32,11478,4.374,5711,8.790,,,
09-mag-20,83259,106,338,282,13,7369,3.827,4513,6.249,,,
10-mag-20,83754,495,,364,62,7508,4.848,5273,6.903,,,
11-mag-20,84185,431,,1033,54,20602,5.014,12549,8.232,,,
12-mag-20,84608,423,450,394,53,10919,3.608,5744,6.859,,,
13-mag-20,85011,403,,522,50,14080,3.707,7393,7.061,,,
14-mag-20,85371,360,,299,45,12162,2.458,6782,4.409,,,
15-mag-20,85678,307,357,399,38,14145,2.821,8172,4.883,,,
16-mag-20,85765,87,,326,11,11809,2.761,6921,4.710,,,
17-mag-20,86094,329,,175,41,5078,3.446,3049,5.740,,,
18-mag-20,86457,363,260,462,45,14918,3.097,10366,4.457,,,
19-mag-20,86838,381,,294,48,11500,2.557,6343,4.635,,,
20-mag-20,87185,347,,316,43,14700,2.150,8124,3.890,,,
21-mag-20,87629,444,391,293,56,19000,1.542,10888,2.691,,,
22-mag-20,87797,168,,441,21,17170,2.568,10714,4.116,,,
23-mag-20,87856,59,,285,7,11500,2.478,7350,3.878,,,
24-mag-20,88163,307,178,148,38,5640,2.624,3260,4.540,,,
25-mag-20,88515,352,,159,44,9100,1.747,5300,3.000,,,
26-mag-20,88871,356,,384,45,12500,3.072,7833,4.902,,,
27-mag-20,89193,322,343,382,40,15500,2.465,9085,4.205,,,
28-mag-20,89400,207,,354,26,14080,2.514,8300,4.265,,,
29-mag-20,89576,176,,221,22,14300,1.545,7550,2.927,,,
30-mag-20,89595,19,134,210,2,12400,1.694,7500,2.800,,,
31-mag-20,89589,-6,,50,-1,3500,1.429,1950,2.564,,,
01-giu-20,89840,251,,187,31,8674,2.156,3600,5.194,,,
02-giu-20,89971,131,125,237,16,11350,2.088,7280,3.255,,,
03-giu-20,90119,148,,84,19,3400,2.471,1880,4.468,,,
04-giu-20,90369,250,,402,31,19000,2.116,14300,2.811,,,
05-giu-20,90631,262,220,142,33,13700,1.036,5500,2.582,,,
06-giu-20,90745,114,,125,14,8000,1.563,5000,2.500,,,
07-giu-20,90778,33,,194,4,4488,4.323,3900,4.974,,,
08-giu-20,90957,179,109,192,22,9850,1.949,6500,2.954,,,
09-giu-20,91220,263,,99,33,9300,1.065,5700,1.737,,,
10-giu-20,91461,241,,252,30,13350,1.888,7800,3.231,,,
11-giu-20,91784,323,276,272,40,14800,1.838,9200,2.957,,,
12-giu-20,92065,281,,210,35,9500,2.211,5775,3.636,,,
13-giu-20,92187,122,,244,15,9300,2.624,5900,4.136,,,
14-giu-20,92226,39,147,259,5,6600,3.924,4300,6.023,,,
15-giu-20,92421,195,,143,24,7000,2.043,4600,3.109,,,
16-giu-20,92588,167,,242,21,11500,2.104,7500,3.227,,,
17-giu-20,92791,203,188,216,25,11400,1.895,7000,3.086,,,
18-giu-20,92929,138,,157,17,10450,1.502,6200,2.532,,,
19-giu-20,93042,113,,165,14,9300,1.774,5550,2.973,,,
20-giu-20,93102,60,104,128,8,7800,1.641,4800,2.667,,,
21-giu-20,93114,12,,143,2,7750,1.845,5200,2.750,,,
22-giu-20,93285,171,,62,21,6900,0.899,4300,1.442,,,
23-giu-20,93434,149,111,88,19,9000,0.978,6250,1.408,,,
24-giu-20,93550,116,,170,15,9800,1.735,6200,2.742,4755,,
25-giu-20,93650,100,,156,13,14000,1.114,8150,1.914,4867,112,"0,024"
26-giu-20,93755,105,107,77,13,9500,0.811,5600,1.375,4900,33,"0,007"
27-giu-20,93800,45,,97,6,8100,1.198,4900,1.980,4949,49,"0,010"
28-giu-20,93829,29,,78,4,8000,0.975,4300,1.814,5018,69,"0,014"
29-giu-20,93966,137,70,62,17,6100,1.016,4000,1.550,5214,196,"0,039"
30-giu-20,94065,99,,109,12,8250,1.321,5350,2.037,5263,49,"0,009"
01-lug-20,94190,125,119,98,16,9450,1.037,5800,1.690,5315,52,"0,010"
02-lug-20,94320,130,118,115,120,9750,1.179,5850,1.966,5389,74,"0,014"
